valor;descricao;dataPublicacao;tipoPublicacao;items
R$ 690.000;Um apartamento com carinha de casa / Maison com área gourmet;Hoje às 15:41;Profissional;"['""3 quartos', '166m²', 'Condomínio: R$ 766', '2 vagas"">3 quartos', '166m²', 'Condomínio: R$ 766', '2 vagas']"
R$ 250.000;Ed Potiguares - 160m - 3 quartos - Lado da Sombra;Hoje às 15:39;Profissional;"['""3 quartos', '160m²', 'Condomínio: R$ 550', '2 vagas"">3 quartos', '160m²', 'Condomínio: R$ 550', '2 vagas']"
R$ 1.050.000;Cobertura Duplex Residencial Sales Correia - 5 suites - Lazer Privativo - Condomínio Baixo;Hoje às 15:39;Profissional;"['""5 ou mais quarto', '400m²', 'Condomínio: R$ 1.150', '3 vagas"">5 ou mais quarto', '400m²', 'Condomínio: R$ 1.150', '3 vagas']"
R$ 260.000;Vendo apartamento no Residencial Victória, em Lagoa Nova, com 2 suítes;Hoje às 15:21;Profissional;"['""2 quartos', '64m²', 'Condomínio: R$ 395', '1 vaga"">2 quartos', '64m²', 'Condomínio: R$ 395', '1 vaga']"
R$ 150.000;Apartamento a venda em Neópolis;Hoje às 15:07;Hoje às 15:07<!-- --> ;"['""3 quartos', '83m²', 'Condomínio: R$ 160', '1 vaga"">3 quartos', '83m²', 'Condomínio: R$ 160', '1 vaga']"
R$ 305.000;Apartamento 03 dormitórios Neopolis Natal;Hoje às 14:29;Profissional;"['""3 quartos', '69m²', '2 vagas"">3 quartos', '69m²', '2 vagas']"
R$ 375.000;Vendo lindo apartamento com 89m² com moveis planejados totalmente sombra e ventilado;Hoje às 14:26;Profissional;"['""3 quartos', '89m²', 'Condomínio: R$ 510', '2 vagas"">3 quartos', '89m²', 'Condomínio: R$ 510', '2 vagas']"
R$ 260.000;Flat mobiliado em Ponta Negra;Hoje às 14:25;Profissional;"['""1 quarto', '34m²', 'Condomínio: R$ 747"">1 quarto', '34m²', 'Condomínio: R$ 747']"
R$ 255.000;Vendo Apto Porto Tropical 56m2 - Ponta Negra;Hoje às 14:20;Hoje às 14:20<!-- --> ;"['""2 quartos', '56m²', 'Condomínio: R$ 330', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 330', '1 vaga']"
R$ 499.000;Oportunidade de morar em Capim Macio, apartamento de 3 quartos para venda;Hoje às 14:00;Profissional;"['""3 quartos', '92m²', 'Condomínio: R$ 580', '2 vagas"">3 quartos', '92m²', 'Condomínio: R$ 580', '2 vagas']"
R$ 361.870;Lançamento do condomínio DUO em Capim Macio;Hoje às 14:00;Profissional;"['""2 quartos', '75m²', '2 vagas"">2 quartos', '75m²', '2 vagas']"
R$ 1.300.000;Apartamento com 4 suítes em Lagoa Nova - Sports Gardens;Hoje às 13:52;Profissional;"['""4 quartos', '170m²', '4 vagas"">4 quartos', '170m²', '4 vagas']"
R$ 1.400.000;Condomínio Van Gogh - Vista Mar - 3 quartos;Hoje às 13:46;Profissional;"['""3 quartos', '292m²', 'Condomínio: R$ 2.100', '3 vagas"">3 quartos', '292m²', 'Condomínio: R$ 2.100', '3 vagas']"
R$ 158.000;Condomínio Ouro Branco em Neópolis - 2/4 sendo 1 suíte com closet;Hoje às 13:45;Hoje às 13:45<!-- --> ;"['""2 quartos', '58m²', 'Condomínio: R$ 300', '1 vaga"">2 quartos', '58m²', 'Condomínio: R$ 300', '1 vaga']"
R$ 250.000;Apartamento no Condomínio Verano Ponta Negra - 2 quartos;Hoje às 13:42;Profissional;"['""2 quartos', '56m²', 'Condomínio: R$ 370', '1 vaga"">2 quartos', '56m²', 'Condomínio: R$ 370', '1 vaga']"
R$ 147.000;Vendo APTO;Hoje às 13:38;Hoje às 13:38<!-- --> ;"['""3 quartos', '92m²', 'Condomínio: R$ 270', '1 vaga"">3 quartos', '92m²', 'Condomínio: R$ 270', '1 vaga']"
R$ 97.000;Apartamento no Condomínio Solar das Estações - Planalto;Hoje às 13:27;Hoje às 13:27<!-- --> ;"['""2 quartos', '52m²', 'Condomínio: R$ 230', '1 vaga"">2 quartos', '52m²', 'Condomínio: R$ 230', '1 vaga']"
R$ 143.900;Apartamento à venda com 2 dormitórios em Capim macio, Natal cod:AP1595;Hoje às 12:51;Profissional;"['""2 quartos', '63m²', '1 vaga"">2 quartos', '63m²', '1 vaga']"
R$ 485.000;Apartamento 3 quartos sendo 1 suíte em Candelária Natal - RN;Hoje às 12:24;Profissional;"['""3 quartos', '97m²', 'Condomínio: R$ 500', '2 vagas"">3 quartos', '97m²', 'Condomínio: R$ 500', '2 vagas']"
R$ 1.700.000;More no Residencial Palladio 208m, 4 suites em Triol;Hoje às 12:14;Profissional;"['""5 ou mais quarto', '208m²', 'Condomínio: R$ 1.200', '4 vagas"">5 ou mais quarto', '208m²', 'Condomínio: R$ 1.200', '4 vagas']"
R$ 665.000;Cobertura com 3 dormitórios à venda, 153 m² por R$ 665.000,00 - Capim Macio - Natal/RN;Hoje às 12:10;Profissional;"['""3 quartos', '153m²', 'Condomínio: R$ 660', '2 vagas"">3 quartos', '153m²', 'Condomínio: R$ 660', '2 vagas']"
R$ 150.000;Apartamento á venda em Neópolis;Hoje às 12:00;Hoje às 12:00<!-- --> ;"['""3 quartos', '83m²', 'Condomínio: R$ 160', '1 vaga"">3 quartos', '83m²', 'Condomínio: R$ 160', '1 vaga']"
R$ 330.000;Apartamento em Capim Macio à venda todo reformado: 2/4 com suíte;Hoje às 11:58;Profissional;"['""2 quartos', '57m²', 'Condomínio: R$ 520', '2 vagas"">2 quartos', '57m²', 'Condomínio: R$ 520', '2 vagas']"
R$ 1.500.000;Belíssimo Sports Gardens ;Hoje às 11:55;Profissional;"['""4 quartos', '170m²', 'Condomínio: R$ 800', '4 vagas"">4 quartos', '170m²', 'Condomínio: R$ 800', '4 vagas']"
R$ 189.000;Apartamento à venda no Village Ponta Negra IV 2° Etapa com 3 quartos 72 m²;Hoje às 11:51;Profissional;"['""3 quartos', '72m²', 'Condomínio: R$ 240', '1 vaga"">3 quartos', '72m²', 'Condomínio: R$ 240', '1 vaga']"
R$ 957.000;Sport Garden 250.000 Repasse tem Saldo devedor;Hoje às 11:46;Hoje às 11:46<!-- --> ;"['""3 quartos', '136m²', 'Condomínio: R$ 0', '3 vagas"">3 quartos', '136m²', 'Condomínio: R$ 0', '3 vagas']"
